home_team,away_team,game_date,minimum_total,expected_total,buffer,confidence_pct,decision,decision_reason,data_quality,analysis_time,game_id,game_time
Pennsylvania Quakers,Lafayette Leopards,2025-12-08,140.5,157.4,16.9,87,YES,High confidence (87%) - BET 3%,LINE_ESTIMATE,2025-12-08T08:29:36.339922,4aad97e094688744824efdf58d7c9565,23:00
Charleston Southern Buccaneers,South Carolina St Bulldogs,2025-12-09,140.5,157.4,16.9,87,YES,High confidence (87%) - BET 3%,LINE_ESTIMATE,2025-12-08T08:29:36.341747,9aced47f69e22d6259e3b6f72c4512cb,00:00
Southern Miss Golden Eagles,Grambling St Tigers,2025-12-09,129.5,145.0,15.5,87,YES,High confidence (87%) - BET 3%,LINE_ESTIMATE,2025-12-08T08:29:36.343527,6c57b4ca2e6a5a614aae803284e20085,01:00
New Orleans Privateers,Incarnate Word Cardinals,2025-12-09,136.5,152.9,16.4,87,YES,High confidence (87%) - BET 3%,LINE_ESTIMATE,2025-12-08T08:29:36.344984,e376767087aa37a69853cab09dfd8759,01:00
Kansas St Wildcats,Miss Valley St Delta Devils,2025-12-09,143.5,160.7,17.2,87,YES,High confidence (87%) - BET 3%,LINE_ESTIMATE,2025-12-08T08:29:36.346315,1f65cf2314a8279af67ac7bedbb04fe7,01:00
Texas Longhorns,Southern Jaguars,2025-12-09,144.5,161.8,17.3,87,YES,High confidence (87%) - BET 3%,LINE_ESTIMATE,2025-12-08T08:29:36.347561,b9e1fcdb9cb4b3338870c228adbd02b3,01:00
BYU Cougars,Clemson Tigers,2025-12-09,138.5,155.1,16.6,87,YES,High confidence (87%) - BET 3%,LINE_ESTIMATE,2025-12-08T08:29:36.348511,5df74a631366fa90c0b8e4c6161407cd,23:30
Ohio State Buckeyes,Illinois Fighting Illini,2025-12-10,142.5,159.6,17.1,87,YES,High confidence (87%) - BET 3%,LINE_ESTIMATE,2025-12-08T08:29:36.350028,fd3661b586f29eb7d205d1162760597f,00:30
UConn Huskies,Florida Gators,2025-12-10,133.5,149.9,16.4,90,YES,High confidence (90%) - BET 3%,TEAM_STATS,2025-12-08T08:29:36.350418,fd82a8f8189ef33c58fd54c342c46722,02:00
