rank,team,conference,record,adj_o,adj_o_rank,adj_d,adj_d_rank,barthag,barthag_rank,efg_pct,efg_pct_d,to_pct,to_pct_d,conf_record,sos,raw_o,raw_d,adj_o_no_opp,adj_d_no_opp,off_ftrate,def_ftrate,adj_tempo,est_ppg,est_opp_ppg,est_total,wins,losses,games
21,North Carolina,ACC,8-1,117.45546151110668,39,95.88374733148919,14,0.9116227171260437,21,22.951419041078456,8.048580958921544,11.4739857597658,6.526014240234202,0-0,0.5546094000525059,107.7663657721441,104.03120376873686,112.03275653627803,102.03411286115958,122.47966589810501,99.84769451166272,69.73148212619807,81.90343414986081,66.86115813238631,148.76459228224712,8,1,9
22,Virginia,ACC,9-1,122.98059763696793,7,100.69463449425089,57,0.9088142393988454,22,23.568371349164508,7.431628650835492,12.114124127122302,5.885875872877695,0-0,0.45242074398115006,106.12152133702793,108.50272251425278,111.21490923612467,103.51413441728093,143.62749903677854,92.49485569681147,67.69808712067359,83.2555121297996,68.1683413857618,151.4238535155614,9,1,10
23,UCLA,B10,7-2,118.75016133041228,30,97.70022885316794,25,0.9041192341171066,23,20.601010277344017,10.398989722655983,12.519574603110204,7.480425396889798,2-0,0.4841671344027623,107.46496692241153,107.17843157837954,113.39903459354474,102.80743894240462,123.37016197815679,99.98623091335492,65.74132783877282,78.06793286929796,64.22942774959246,142.29736061889042,7,2,9
24,Iowa,B10,8-1,119.92556241341853,22,98.78526514184686,38,0.9029211758428421,24,21.646620916910997,9.353379083089004,11.521699348502004,8.478300651497996,1-1,0.5115559441509565,106.86044103495706,106.29134496675327,112.83958821260823,102.86919351938799,106.31006548098676,107.7820813950121,64.5375034687228,77.39696400244532,63.75354391750644,141.15050791995176,8,1,9
25,Georgia,SEC,8-1,119.3328508636308,25,98.69074456996151,36,0.8988164900921598,25,21.831121297908425,9.168878702091583,10.176379517667142,7.823620482332858,0-0,0.40822586449166504,104.02718008916015,108.41411440135728,111.78470030133695,103.57794196248045,124.24622196145921,105.91100373679765,75.98544994719474,90.67560366354472,74.99060631772191,165.66620998126663,8,1,9
26,Kentucky,SEC,6-4,117.69924376116,38,97.43018833537121,21,0.8978407251955745,26,17.367215085880414,13.632784914119584,9.440553953029852,8.559446046970148,0-0,0.482409165054057,107.22810180511897,105.74457483144916,114.80405691437367,102.04605197798682,111.41461275970538,106.11672787607041,70.02087698683756,82.41404268843993,68.22147232235444,150.6355150107944,6,4,10
27,Saint Mary's,WCC,9-1,115.10853217076408,60,96.49160112994623,16,0.8837903436156171,27,25.056620038986193,5.943379961013807,13.710087074064678,4.289912925935324,0-0,0.5091728275694012,109.89700020426807,105.9723285927665,109.51395083338114,105.01691379888368,109.06147442273928,109.90032838046815,66.55393823518918,76.6092614043632,64.21896061816952,140.8282220225327,9,1,10
28,Ohio St.,B10,7-2,119.64388677278667,24,100.4409152618421,54,0.8820435401020332,28,19.140801933485733,11.859198066514264,10.703050251809604,9.296949748190396,1-1,0.4726944849426337,107.81425827282084,108.57476811427804,113.70718268670788,102.35701654576428,125.81533818584028,108.18473640845248,69.79401761759814,83.50427541257791,70.1017500931269,153.6060255057048,7,2,9
29,Texas Tech,B12,7-2,116.90451579979874,45,98.1878290329099,30,0.8814742076438543,29,18.95936218781293,12.040637812187072,9.47919403277911,8.52080596722089,0-0,0.6115174589586413,112.35275978380103,105.1017487483218,115.18659080716911,101.33954084586729,114.57964113319366,95.27231948463968,68.12422986622983,79.64030106745787,66.88970235104028,146.53000341849815,7,2,9
30,Wisconsin,B10,7-2,118.29967247959154,34,99.37487349797318,45,0.8812896211557677,30,19.443376330720987,11.556623669279011,10.908129367491846,9.091870632508154,1-0,0.5322878093920826,108.53482617601036,106.51105634138956,113.90137225309161,102.67519487678975,99.33072942347526,104.49566737187862,71.17344056696724,84.19794708317899,70.72851652757882,154.92646361075782,7,2,9
31,Clemson,ACC,7-3,117.09355666744,43,98.4647825729639,35,0.8800236800630206,31,20.807699508531805,10.192300491468194,11.325324638898522,6.67467536110148,0-0,0.5270287947623713,108.74939218256449,106.31952332838117,111.06752820469073,102.61523274794463,123.01520066887213,101.02730728358283,65.61712526171358,76.83342575186967,64.60975971957565,141.4431854714453,7,3,10
32,Miami FL,ACC,8-2,115.92421474340881,51,97.76228136715724,26,0.8764869488030562,32,22.135251594344194,8.864748405655808,11.222872583208984,6.777127416791017,0-0,0.48058184472321075,107.542479640592,107.71081278385604,110.08227211004201,104.39508675815667,108.16014090325551,91.72529972380471,71.78202846758661,83.21275282793995,70.17574864153494,153.38850146947487,8,2,10
33,Auburn,SEC,7-3,121.41335220615721,13,102.57626925859302,85,0.8742239709325549,33,19.01198704708303,12.988012952916973,8.826429315802331,9.17357068419767,0-0,0.6417555663223377,112.5222945908304,102.20930718452723,112.49691671185383,98.29940866078559,123.96543497341546,109.23184798154614,68.76484877704554,83.48970803970569,70.53641643680655,154.02612447651222,7,3,10
34,Nebraska,B10,9-0,115.98941035072441,50,98.39394089160228,34,0.8689806933431428,34,21.042855820632152,9.95714417936785,10.073065176078554,9.926934823921446,0-0,0.4883865494322992,107.00050167502576,107.85930073649432,113.03561430435543,103.00630870140306,0.0,0.0,70.43982247113175,81.70273473636279,69.30851728639496,151.01125202275773,9,0,9
35,USC,B10,9-1,119.15733810442607,27,101.24531027804358,62,0.8668433036855099,35,20.89405209690369,10.105947903096306,10.033802179015598,9.9661978209844,1-1,0.6089768216372042,110.0338504948869,105.34562553715617,113.25755125943535,102.39585477045769,110.15584974928393,91.31105701616366,71.56782618416561,85.2783166202542,72.45906767940939,157.73738429966357,9,1,10
36,Missouri,SEC,8-2,118.59783603292779,32,101.95214431409573,73,0.8505853169553825,36,18.54374704785954,12.456252952140456,8.390566437866093,9.609433562133908,0-0,0.36798406404765005,104.12939496183824,109.89038917666183,112.90554398116454,104.05393410944873,111.81160360430289,103.95713319136622,69.6067558649641,82.55210618857048,70.9655801918085,153.51768638037896,8,2,10
37,LSU,SEC,8-1,116.73344781609285,46,100.39829058273804,53,0.8498724744436812,37,19.7800151812545,11.219984818745502,8.382949519851007,9.617050480148993,0-0,0.46317471381907865,106.19032463688046,107.66091206076838,112.84886048104914,103.42357939980647,88.48209051773232,106.93115204436332,70.23155575307926,81.98371648545094,70.51128142575419,152.49499791120513,8,1,9
38,N.C. State,ACC,6-3,120.64145163068082,18,103.96852449073774,111,0.8468945678138898,38,18.157099417014365,12.842900582985633,9.415607834804169,8.584392165195833,0-0,0.6003267588040229,109.43015981006631,104.87199326026217,112.71801426442232,101.6801562588843,125.09604934619563,108.83839687165583,71.08708713487893,85.7604938414849,73.90819559757868,159.6686894390636,6,3,9
39,Saint Louis,A10,8-1,115.2710412613194,58,99.54616607722653,46,0.8437823379530364,39,24.972216298971748,6.027783701028258,13.291879363639895,4.708120636360104,0-0,0.43542824227365534,105.10939335072106,108.19511924981612,103.74420608062988,103.09166844564942,104.45482392568692,91.81316347314115,73.05898606584829,84.21585397306556,72.72741960344712,156.9432735765127,8,1,9
40,SMU,ACC,9-1,115.66852527924813,54,100.00027093435028,49,0.8420937891424867,40,20.635335608823514,10.36466439117648,9.217763813431889,8.782236186568113,0-0,0.5372680903760386,109.29352289953188,106.342729528713,112.39069349007895,102.83831758335728,115.00695999657916,96.94872953361433,71.02884862289518,82.15802172493241,71.02904106444471,153.18706278937714,9,1,10
41,Texas,SEC,7-3,119.03468265349585,28,102.95699224330527,92,0.8414011984157727,41,17.085538837214873,13.914461162785132,8.007127311533507,9.992872688466493,0-0,0.4267823652998481,106.92182727169067,107.48016591492689,113.86481714154291,103.17734915856312,121.52744651694377,111.89639494849474,68.81463002816939,81.9132764732087,70.84947330036157,152.76274977357025,7,3,10
42,Texas A&M,SEC,7-3,116.72165432701911,47,101.01911349047299,59,0.8404455421254157,42,18.070053265152485,12.929946734847512,8.15841696059054,9.84158303940946,0-0,0.4873200804662372,107.7323195157131,109.21325288670543,113.03405182355932,104.40499496016825,98.26593116410888,103.43616577953037,72.15123198063904,84.21611158512717,72.8865349192962,157.10264650442338,7,3,10
43,Oklahoma St.,B12,9-0,117.28158041835653,40,101.81026077531726,71,0.8357401951401368,43,20.65663366985135,10.343366330148653,8.208362131892427,9.791637868107575,0-0,0.4768272606119343,105.97221836083199,107.08489690225241,111.6740652641935,102.90404587898907,0.0,0.0,74.73059566514267,87.64522365213116,76.08341432562969,163.72863797776085,9,0,9
44,Santa Clara,WCC,8-2,116.97317708392,44,101.62625463840149,67,0.8344350717544249,44,22.789417679058406,8.210582320941594,12.425073602383781,5.574926397616218,0-0,0.5194382573753487,107.68269520116164,104.41835267058657,108.70578814817398,104.4086529372971,107.88639937511309,92.09036734853204,69.57334923556245,81.38215700452857,70.70478905459704,152.0869460591256,8,2,10
45,Boise St.,MWC,6-3,112.64658173538177,83,97.92769798052838,29,0.8334527215136541,45,21.8435052329099,9.156494767090093,13.582511995155,6.417488004845,0-0,0.5113764944002237,111.70591164004951,104.22179133899529,110.99894610617149,104.08903917231123,108.22811938071659,95.61559911689999,67.18312768138809,75.67949683600074,65.79089036970248,141.47038720570322,6,3,9
46,Wake Forest,ACC,7-3,115.05810907154643,61,100.13261147171929,51,0.8317150975711087,46,18.56547161699662,12.43452838300338,9.353560062730924,8.646439937269076,0-0,0.5463214262823202,108.46089437542548,104.68537084737973,112.59663900788095,102.6859243680964,118.27551413098499,94.60458857698717,70.89353460321705,81.56876036844399,70.98754756280819,152.55630793125218,7,3,10
47,Baylor,B12,6-2,120.76422871901158,16,105.14911931322179,129,0.8309390076661279,47,17.752288545746644,13.247711454253356,7.664036596075097,10.335963403924906,0-0,0.63505205229951,110.72960384091557,103.79847348105096,109.63970503333407,97.59665493930316,117.83905648159916,111.3810400123738,69.38974183031907,83.79798653149817,72.96270242829877,156.76068895979694,6,2,8
48,Villanova,BE,7-2,116.45323346111557,49,101.43639729666494,64,0.8302872702698482,48,19.080714415122753,11.91928558487724,10.856799873403347,9.143200126596657,0-0,0.4880171215906407,110.72773613371074,108.36963264107287,113.29665784641662,103.39110732522555,99.71647905781468,95.84391666490649,65.0037580473752,75.69897811740854,65.93747027069831,141.63644838810686,7,2,9
49,VCU,A10,6-3,112.18296620104718,89,97.82395530912964,28,0.8285036526700376,49,22.234918581428623,8.765081418571382,12.554448541408616,5.445551458591384,0-0,0.5469407145921983,109.5890969250182,106.99328147521005,108.42890291420501,106.01729411137525,109.44637245793297,100.73355980818158,71.50845190274534,80.22030242894887,69.95239603159206,150.17269846054091,6,3,9
50,TCU,B12,6-3,111.95976101648444,91,97.69547060213165,24,0.8273940515041005,50,18.113952409826545,12.886047590173456,8.28661916861251,9.71338083138749,0-0,0.5528460832186026,107.74134272490174,103.78934288093461,112.07955899746085,102.96759982991642,114.55176247612765,84.62817659853519,69.34970328873585,77.64376206770972,67.75151898911245,145.39528105682217,6,3,9
51,West Virginia,B12,8-3,110.89958648109028,108,96.97642216316862,19,0.8238726714490842,51,17.837670271881613,13.162329728118387,8.457762877887738,9.542237122112263,0-0,0.38373744052571884,103.88717370377161,109.65870777666241,110.7718142151793,103.91981420824008,114.308072327921,105.0458607119354,64.89540294871823,71.96873351536578,62.93323992803837,134.90197344340416,8,3,11
52,Utah St.,MWC,8-1,114.4171867330935,66,100.27461370645622,52,0.8201398888510916,52,22.55635500218695,8.443644997813044,13.265043858043356,6.734956141956643,0-0,0.46394338586809497,108.2046482872534,106.87171952309106,109.83427038509859,104.45622652516694,103.06362362544718,96.67328402736032,69.4135409396953,79.42102075502348,69.6041600372523,149.02518079227576,8,1,9
53,San Diego St.,MWC,4-3,113.85445253845562,71,99.95559906969422,48,0.8171625396209232,53,19.37479627054734,10.625203729452661,13.255256026185148,6.74474397381485,0-0,0.6063790285940195,111.01927666752455,104.13415986409981,106.67560791909054,100.37137976005448,107.25895392710243,106.9191503766857,68.30027721007784,77.76290669978168,68.26995125159513,146.0328579513768,4,3,7
54,Syracuse,ACC,5-3,113.31325931257324,76,99.67665883157002,47,0.8137530592136168,54,18.455119031939617,12.544880968060383,8.818129021055096,9.181870978944904,0-0,0.5697450307746534,108.4974382733691,103.13311862333256,110.85005429217499,102.36657689997305,108.33506312436603,95.2995844516351,69.21366412959728,78.42825871490405,68.98986785928743,147.4181265741915,5,3,8
55,Creighton,BE,5-4,115.2099512554729,59,101.36657946797048,63,0.8133833230698841,55,17.025040089281863,13.974959910718132,10.328895812865566,9.671104187134434,0-0,0.5665077571816143,109.97313334526086,104.73479241139133,112.63614010455795,102.6588714338319,102.12903564726047,102.76049904781529,66.35860442815299,76.45171581548715,67.26544749149987,143.717163306987,5,4,9
56,George Washington,A10,8-2,120.16026324483269,20,106.01119702310677,149,0.8085690740578981,56,22.70297651013322,8.29702348986678,12.513936104735137,5.486063895264864,0-0,0.4484882497774071,105.59931912628937,108.08033679761488,104.27256368718169,102.54010316017089,0.0,0.0,71.66766491384318,86.11605482189856,75.97574945367427,162.09180427557283,8,2,10
57,Washington,B10,6-3,115.49575256373717,56,102.12776472601762,76,0.8044912566288779,57,16.843124969711866,14.156875030288134,8.562012241743387,11.437987758256613,1-1,0.5928435838953989,112.01934423492082,107.30075803108669,114.07512254166494,103.25115882679346,116.61344915772857,102.75189013998613,68.19215508583993,78.75904270582159,69.64312370766766,148.40216641348923,6,3,9
58,Akron,MAC,8-2,120.56912812309713,19,106.73006537971764,161,0.8025144242693725,58,24.673189438364034,5.326810561635962,14.971645673908682,3.0283543260913195,0-0,0.4226370725920261,108.77785322147452,108.58715885222084,103.24539513148008,105.81298136663223,120.42562100968209,112.22656873398192,72.10654227567632,86.93822934149537,76.95935971388309,163.89758905537846,8,2,10
59,Butler,BE,7-2,115.63950875806881,55,102.40263834296431,80,0.8018662801329267,59,18.477644478220345,12.522355521779653,9.988598492070553,10.011401507929447,0-0,0.48781380754597387,107.21442725685776,107.82889199954123,111.71118264190304,103.46159449335183,124.20571037523511,99.0002720613159,70.85376023626266,81.93494027383403,72.5561198471311,154.49106012096513,7,2,9
60,Oklahoma,SEC,6-3,117.80876217661152,37,104.43259295196722,118,0.79995122588704,60,16.302144016983092,14.697855983016906,6.909088277658279,11.090911722341719,0-0,0.5206280994128272,107.87983400854303,106.30237452558865,112.8668563629991,103.58475090783756,127.50045572108627,107.53071777592874,67.47729738201072,79.49416879597791,70.4682913099437,149.9624601059216,6,3,9
61,Mississippi,SEC,5-4,113.91792577295175,69,101.07043532753912,60,0.7983633886675257,61,14.866205441583382,16.13379455841662,6.688843948571866,11.311156051428132,0-0,0.5520248512877046,108.40261554550563,105.15264915971314,114.32625079112853,102.96243292356692,103.41063118149678,95.77125223592084,65.86959436302944,75.03727561342028,66.57468577119802,141.6119613846183,5,4,9
62,South Florida,Amer,5-4,114.79760633092633,62,101.8769453368247,72,0.797889753496227,62,20.888343689508574,10.111656310491425,12.916540835373372,5.083459164626631,0-0,0.606333442205027,110.4972733538967,106.68352466741722,106.52429078916256,103.59753937442649,114.42290445165955,106.0446884049807,73.20356167001061,84.03593654615567,74.57755250716546,158.61348905332113,5,4,9
63,Northwestern,B10,5-4,115.39055434219328,57,102.55543666703113,84,0.7951199854873645,63,15.627646355185092,15.372353644814906,7.293044393308813,12.706955606691185,0-2,0.6015104767259074,111.75543384677826,106.6012388965072,113.62438959876182,102.79016191476376,117.23240881200223,107.56324756763915,67.39358119128838,77.76582692768376,69.11578147627596,146.88160840395972,5,4,9
64,Virginia Tech,ACC,8-2,114.63761180163124,65,102.00855310993823,74,0.7928632906370475,64,18.62676873691775,12.373231263082245,7.810122930946886,10.189877069053113,0-0,0.590715928406942,109.35023331640737,105.09076517098302,112.01107348370682,102.76322618995067,106.87089908201165,110.85141820242339,70.0468126018687,80.29999310994634,71.45374003479614,151.75373314474248,8,2,10
65,Memphis,Amer,4-4,111.53743296130894,96,99.28380669907412,42,0.7922175449824219,65,19.027925272283763,11.972074727716235,12.954187763458297,5.045812236541705,0-0,0.6777592051747005,113.61538839750337,104.75044715416604,111.49233740022511,105.60064436610575,116.3007071375692,102.34133885700258,70.00164985298386,78.0780432765821,69.5003027261992,147.5783460027813,4,4,8
66,Colorado St.,MWC,8-2,120.69632226324211,17,107.53897170975803,175,0.7904069264865858,66,21.92095890866531,9.07904109133469,12.920958908665309,7.079041091334689,0-0,0.4674090423778986,108.8388164874601,110.10840342751226,105.4175705379376,102.5771223137883,0.0,0.0,62.6310997787034,75.59343402591658,67.35284067253018,142.94627469844676,8,2,10
67,Notre Dame,ACC,7-3,113.89636777131926,70,101.56106672441594,65,0.7888871208235814,67,18.244812688861014,12.755187311138991,8.49012363938529,9.509876360614713,0-0,0.5810218906741633,110.18208010314667,104.86584706113891,111.66005494231331,102.82501912067566,111.30616271548347,99.16298689396413,66.40964867243189,75.63817768759407,67.44634759965875,143.0845252872528,7,3,10
68,Seton Hall,BE,9-1,110.24700828498167,116,98.37426530930465,33,0.7875729903912833,68,19.450436852902122,11.54956314709788,9.585800655137218,10.414199344862784,0-0,0.42083539106070483,105.71640827537642,108.77270618951768,111.69259942356514,104.03700614141306,122.25697365780643,97.28687749103668,66.32526550773129,73.12162095934461,65.2469926576763,138.3686136170209,9,1,10
69,UCF,B12,8-1,117.15137344854509,42,104.57723407616265,120,0.7867963432177328,69,17.987566788455617,12.01243321154438,7.345466050715115,10.654533949284883,0-0,0.498426289359136,108.67386476263694,107.98919585146616,112.48682543035629,102.77031683435345,124.88416003830639,109.00625278640123,70.11751541486895,82.14363233651429,73.32695822379694,155.47059056031122,8,1,9
70,Cincinnati,B12,6-3,104.79877700215518,211,94.05605910441123,8,0.7762139842035529,70,15.167912384029263,15.832087615970742,6.75062871221954,11.249371287780459,0-0,0.40809969570277943,104.07522412664993,107.51488727373572,112.25497153690823,102.37885205293168,102.29432238020775,86.33510357675317,71.45195422061784,74.8807741673473,67.20489229300117,142.08566646034848,6,3,9
71,Dayton,A10,7-3,111.033271393892,104,100.04532888939276,50,0.7682355886665132,71,20.567979047176305,10.4320209528237,11.198391646150744,6.801608353849252,0-0,0.5294811523360841,107.8321432596977,106.31801270036426,109.16707124421784,105.8377499859051,112.2865658298879,98.42222694102895,69.84108354041862,77.54683983186783,69.87274172792738,147.4195815597952,7,3,10
72,Arizona St.,B12,8-2,113.85162645750368,72,102.59342972984749,86,0.7680628493371536,72,16.38076027155235,14.61923972844765,6.980829167796675,11.019170832203324,0-0,0.5412198361272342,108.53080325695427,105.88325240265817,113.79095806724365,101.95716303049791,116.46355380459188,106.14313817338704,69.22306325857308,78.8115834035921,71.01831476103204,149.82989816462413,8,2,10
73,Colorado,B12,8-1,118.09626990915248,35,106.47048319477878,155,0.7670578291901138,73,18.308453411726042,12.691546588273956,7.060359872665196,10.939640127334805,0-0,0.5477711478614151,109.782914304738,107.42707446865448,112.5477233902683,102.75946439822523,128.7141911538008,119.31616640861344,69.4890081410507,82.06392661144818,73.98528273503585,156.04920934648402,8,1,9
74,Yale,Ivy,10-1,119.89236330613744,23,108.15566681234196,191,0.7658030187216568,74,23.346194528699314,4.65380547130068,11.419728059136734,2.5802719408632675,0-0,0.3781565701234984,107.46966266738652,108.78437748578679,106.32858815308032,108.86985207787917,0.0,0.0,65.89261770835215,79.00021661482181,71.26660006257559,150.2668166773974,10,1,11
75,McNeese St.,Slnd,8-2,110.04099237740282,118,99.37187690536814,44,0.7636532477762473,75,24.650058179426797,6.349941820573202,17.61636904384249,4.38363095615751,1-1,0.4421075778012845,110.01023544086546,107.62616502503269,105.76611623843554,107.3903280733207,108.01500928974845,104.4172132658118,66.70921824664049,73.40748576581066,66.29020224058497,139.69768800639565,8,2,10
76,California,ACC,9-1,113.65109046541261,74,102.74373629202796,89,0.7613863909446967,76,19.56525270788913,11.43474729211088,7.833673156160079,10.166326843839922,0-0,0.40315945265619507,106.25688152795652,108.04518215974973,110.14834690214379,103.82040473225022,121.83827179669012,93.75719331901004,68.31556854981008,77.64138861450563,70.18996759721645,147.8313562117221,9,1,10
