home_team,away_team,actual_total,minimum_line,sim_mean,hit_rate,cushion,hit_over
Stetson,Wright St.,141,146.0,157.80956000446585,74.74,11.809560004465851,False
Villanova,Old Dominion,164,151.5,163.43961754049178,86.67,11.939617540491781,True
Florida St.,CSU Bakersfield,148,140.0,151.97829173639968,84.17,11.978291736399683,True
Jacksonville,Pacific,121,141.0,153.16339220912238,85.52,12.163392209122378,False
Hawaii,Hawaii Pacific,164,142.5,154.7329087714069,78.06,12.232908771406898,True
Maryland,UNLV,141,157.0,168.87294540048507,76.2,11.872945400485065,False
Bethune-Cookman,Stony Brook,115,135.5,147.27807982288613,69.06,11.778079822886127,False
Liberty,Towson,141,141.0,152.7995294317253,71.15,11.79952943172529,False
Rutgers,Notre Dame,131,142.0,153.925708338681,80.5,11.925708338681005,False
East Carolina,Michigan St.,145,143.0,155.08914375332026,76.25,12.089143753320258,True
North Ala.,Tenn. Southern,152,136.0,147.84532792763565,81.66,11.845327927635651,True
UNC Greensboro,Delaware,133,147.5,159.44694040328287,78.67,11.946940403282866,False
Loyola Chicago,UNI,123,148.5,160.40925437145927,78.42,11.90925437145927,False
San Jose St.,Tulsa,132,148.0,160.0326673371772,72.36,12.032667337177202,False
Army West Point,East Texas A&M,151,144.5,156.570809929236,81.12,12.070809929235992,True
Iowa St.,Creighton,138,148.5,160.63359553765784,85.65,12.13359553765784,False
Boise St.,NC State,151,132.0,143.9607863917222,70.08,11.960786391722195,True
UTEP,UAB,134,143.5,155.37895057309538,68.54,11.87895057309538,False
St. John's (NY),Baylor,177,161.0,173.05308350513494,83.41,12.053083505134936,True
Saint Joseph's,Rutgers-Camden,161,143.5,155.44209244909976,75.32,11.94209244909976,True
San Diego,California Baptist,137,157.5,169.5192944927926,83.74000000000001,12.019294492792596,False
LMU (CA),Ohio,128,139.5,151.69705013519436,65.67,12.19705013519436,False
Southern California,Seton Hall,164,144.5,156.59500417042315,81.75,12.095004170423152,True
Bradley,UC San Diego,164,148.0,159.9495267174645,79.62,11.949526717464494,True
Houston,Tennessee,149,137.5,149.38171067582908,83.13000000000001,11.881710675829083,True
North Carolina,St. Bonaventure,155,147.0,159.2017714978102,85.49,12.2017714978102,True
South Dakota St.,Utah Valley,127,144.0,156.06343071263873,74.8,12.063430712638734,False
Oral Roberts,Kennesaw St.,174,161.0,173.1075395069371,78.17,12.107539506937087,True
Central Mich.,Adrian,179,124.0,136.1153571719881,74.88,12.115357171988109,True
Ohio St.,Mount St. Mary's,173,150.0,162.15810008478704,68.97999999999999,12.158100084787037,True
William & Mary,Abilene Christian,150,145.5,157.6314944164587,78.38000000000001,12.131494416458708,True
UNC Asheville,Tennessee St.,148,155.5,167.54237920967935,75.82,12.042379209679353,False
Rider,Coppin St.,133,140.0,152.12762532937973,87.66000000000001,12.127625329379725,False
Central Ark.,Eastern Ill.,141,124.0,136.10867553536266,90.88000000000001,12.108675535362664,True
USC Upstate,N.C. Central,149,137.0,149.19130754188407,83.12,12.191307541884072,True
Vermont,Rhode Island,145,149.0,161.02423770499922,74.41,12.024237704999223,False
Georgia St.,Samford,141,142.5,154.70773231952543,74.44,12.207732319525434,False
Kansas,Syracuse,131,145.5,157.53821646612678,87.08,12.038216466126784,False
Bellarmine,Houston Christian,143,151.0,162.96474572955026,85.55,11.964745729550259,False
Sacramento St.,San Fran. St.,140,141.5,153.6020111372742,74.89,12.10201113727419,False
California,UCLA,152,147.5,159.45002012922095,83.21,11.950020129220945,True
Chaminade,Texas,197,140.0,151.9784123666287,84.2,11.978412366628703,True
Indiana,Kansas St.,155,155.0,167.09159687189134,78.3,12.09159687189134,False
Gonzaga,Maryland,161,150.5,162.5805187679617,72.25,12.080518767961706,True
Fla. Atlantic,George Mason,139,131.0,142.7696442331222,74.41,11.769644233122193,True
Charleston So.,Piedmont,174,136.5,148.55684054923307,74.59,12.056840549233073,True
UT Martin,Brescia,125,124.0,135.9888844652398,78.51,11.988884465239806,True
Wake Forest,Campbell,150,155.0,167.19388286119897,73.15,12.193882861198972,False
Penn St.,Boston U.,183,137.5,149.48072640951463,77.09,11.98072640951463,True
UMES,Hampton,142,133.0,144.87079832359495,68.87,11.870798323594954,True
UCF,Quinnipiac,193,159.0,171.02652253608133,72.02,12.02652253608133,True
Omaha,James Madison,165,159.0,171.1026782655585,87.63,12.102678265558495,True
Milwaukee,Dominican (IL),195,139.5,151.64284814173863,74.81,12.142848141738625,True
Ole Miss,Iowa,143,134.5,146.4801899213988,74.95,11.98018992139879,True
UTSA,Ga. Southern,141,148.5,160.48686178080908,67.08,11.986861780809079,False
New Haven,Salve Regina,125,126.5,138.3188299223404,66.75,11.818829922340399,False
Texas A&M,Mississippi Val.,204,155.0,167.11511245113795,72.68,12.115112451137946,True
Morgan St.,Drexel,137,141.5,153.69390515200587,75.73,12.193905152005868,False
FGCU,Rice,141,134.5,146.25247551420034,77.53,11.752475514200341,True
Princeton,Temple,154,153.0,165.23949053239718,85.22,12.239490532397184,True
Missouri,South Carolina St.,164,152.5,164.7428289310097,79.17,12.242828931009711,True
Austin Peay,NIU,136,132.0,144.14406052269499,89.25999999999999,12.144060522694986,True
Southeast Mo. St.,Cal Poly,152,143.5,155.7339349076907,83.13000000000001,12.233934907690696,True
North Texas,Eastern Wash.,150,126.0,138.24611516990132,78.69,12.246115169901316,True
Utah Tech,Portland St.,131,141.0,152.7954169165649,73.49,11.795416916564903,False
Washington St.,Arizona St.,194,158.0,169.90736701406453,76.74,11.907367014064533,True
Michigan,Auburn,174,157.0,168.88062468302715,73.58,11.88062468302715,True
UC Irvine,New Mexico St.,102,137.0,148.92643872311916,63.36000000000001,11.926438723119162,False
Nebraska,Winthrop,153,157.5,169.38244543134036,77.73,11.882445431340358,False
Montana,Oakland,182,160.5,172.34983695805698,69.13,11.849836958056983,True
Purdue Fort Wayne,Chicago St.,167,153.0,164.82933509745334,72.54,11.829335097453338,True
Middle Tenn.,McNeese,134,131.5,143.31634536214997,64.53,11.816345362149974,True
Norfolk St.,Virginia-Lynchburg,215,143.5,155.37104297081675,67.45,11.871042970816745,True
Arizona,Denver,176,158.0,169.8689148307756,79.99000000000001,11.868914830775594,True
Pacific,Stony Brook,144,147.0,159.20159079070908,74.68,12.201590790709076,False
Belmont,Saint Francis,151,151.5,163.2986499304473,88.71,11.798649930447311,False
Southern Ill.,UAB,154,149.5,161.50801228469987,75.84,12.008012284699873,True
Vermont,Liberty,152,150.5,162.38529884858156,74.69,11.885298848581556,True
Tennessee,Rutgers,145,144.0,155.89848331369413,79.22,11.898483313694129,True
FDU,East Texas A&M,135,132.0,144.13185071505785,71.61999999999999,12.131850715057851,True
Bowling Green,Bucknell,137,142.5,154.66019593728663,72.28999999999999,12.16019593728663,False
Towson,Rhode Island,117,139.5,151.43049247683436,70.6,11.93049247683436,False
Baylor,Creighton,155,153.5,165.71662342672516,84.43,12.216623426725164,True
Troy,Toledo,143,154.0,166.03375485250245,67.66,12.033754852502454,False
App State,Elon,141,139.5,151.40789877146074,74.67,11.907898771460736,True
UMBC,Notre Dame (MD),154,150.0,161.94861755643473,75.57000000000001,11.948617556434726,True
Michigan,San Diego St.,148,150.5,162.60136923390647,72.06,12.101369233906468,False
Youngstown St.,Ga. Southern,128,147.5,159.63640831237794,73.83,12.136408312377938,False
Northern Ariz.,Cal Poly,180,143.5,155.4182976593847,77.75999999999999,11.918297659384706,True
Bethune-Cookman,Jacksonville,133,130.0,141.99713603913995,73.63,11.997136039139946,True
VMI,Buffalo,148,151.5,163.4392086086699,70.42,11.939208608669901,False
Alabama,Gonzaga,180,164.5,176.58504277652875,70.92,12.085042776528752,True
Middle Tenn.,George Washington,171,145.0,156.80493295908914,71.25,11.804932959089143,True
Lamar University,Oakland,151,149.0,160.88413248478207,74.33,11.884132484782072,True
UTEP,William & Mary,137,147.0,158.86760798367197,68.4,11.867607983671974,False
UC San Diego,Temple,167,157.5,169.3129883085079,80.23,11.812988308507897,True
St. John's (NY),Iowa St.,165,155.5,167.4523986276594,84.61999999999999,11.952398627659392,True
Kennesaw St.,Rice,173,154.0,165.9191299600255,76.19,11.919129960025487,True
Evansville,Col. of Charleston,137,146.0,157.8617456594235,81.06,11.861745659423491,False
Boise St.,Southern California,137,146.0,158.12733837441405,74.00999999999999,12.127338374414052,False
NC State,Seton Hall,159,130.0,142.14897467912576,74.59,12.148974679125757,True
Houston,Syracuse,152,140.0,152.21213483911814,87.57000000000001,12.212134839118136,True
Holy Cross,Siena,142,145.5,157.68448871634735,83.06,12.184488716347346,False
UC Riverside,Grambling,157,146.0,158.19263415398785,84.96000000000001,12.192634153987854,True
Ohio,George Mason,161,148.0,159.80539809452455,76.14,11.805398094524548,True
Iona,Green Bay,155,156.0,168.0087180691435,78.51,12.008718069143498,False
Oregon St.,Massachusetts,138,146.0,158.05601977770527,85.15,12.056019777705274,False
Texas,Arizona St.,173,156.0,168.2074654975539,81.21000000000001,12.207465497553898,True
Kansas,Notre Dame,132,142.0,153.7766162166984,85.03,11.776616216698386,False
Texas St.,Texas Lutheran,134,144.5,156.48074381635442,70.53,11.980743816354419,False
Missouri St.,LIU,136,142.5,154.25060699850383,70.28999999999999,11.750606998503827,False
McNeese,Murray St.,133,152.5,164.6827635217928,66.89,12.182763521792793,False
Northern Ky.,Eastern Ky.,153,124.0,136.11333723063296,69.32000000000001,12.113337230632965,True
The Citadel,Bellarmine,128,155.5,167.442643857472,72.28,11.942643857472007,False
Cincinnati,NJIT,161,139.0,151.24304154437016,74.75,12.243041544370158,True
FIU,James Madison,152,153.5,165.50093855329297,74.33999999999999,12.000938553292968,False
FGCU,Oral Roberts,181,141.0,152.90448484467922,80.35,11.904484844679217,True
American,Marywood,166,135.5,147.4343893066414,77.41,11.934389306641407,True
Lindenwood,Kansas City,147,145.0,157.19169215761096,75.1,12.191692157610959,True
Bradley,Princeton,152,144.0,156.17398264321312,83.89999999999999,12.173982643213122,True
Louisville,Eastern Mich.,133,143.0,155.21676138812637,80.01,12.216761388126372,False
Mississippi St.,New Orleans,159,154.0,166.1522657307784,82.06,12.152265730778396,True
Central Conn. St.,Sacred Heart,214,143.0,154.75681868689426,68.38,11.756818686894263,True
Chaminade,Washington St.,175,141.0,153.11314649423954,78.81,12.113146494239544,True
SMU,Radford,161,159.5,171.54796209373433,76.46,12.047962093734327,True
Oregon,Auburn,157,154.5,166.66612335279595,76.89,12.16612335279595,True
Arkansas St.,Jacksonville St.,137,146.0,157.79563338157632,65.42,11.795633381576323,False
Illinois,UTRGV,160,140.5,152.6592298057388,74.7,12.15922980573879,True
Akron,Yale,191,164.5,176.6999762477722,82.52000000000001,12.199976247772213,True
