date,matchup,tier,maximum_line,actual_total,under_won,margin
2025-11-28,Saint Louis Billikens @ Stanford Cardinal,1,172.5,155,True,17.5
2025-11-28,Western Kentucky Hilltoppers @ Wichita St Shockers,3,166.5,145,True,21.5
