home_team,away_team,actual_total,maximum_line,sim_mean,under_hit_rate,cushion,under_won,margin,prediction_error,game_date
Omaha,James Madison,165,180.19235299365172,168.19235299365172,84.8,15.192352993651724,True,15.192352993651724,-3.192352993651724,2025-11-25
Princeton,Temple,154,174.59761580235562,162.59761580235562,83.08,20.59761580235562,True,20.59761580235562,-8.59761580235562,2025-11-25
Missouri,South Carolina St.,164,170.6875101665703,158.6875101665703,82.1,6.687510166570291,True,6.687510166570291,5.312489833429709,2025-11-25
Southeast Mo. St.,Cal Poly,152,157.84947204374336,145.84947204374336,80.78,5.849472043743361,True,5.849472043743361,6.150527956256639,2025-11-25
Belmont,Saint Francis,151,165.6158731421552,153.6158731421552,94.48,14.615873142155209,True,14.615873142155209,-2.615873142155209,2025-11-24
Tennessee,Rutgers,145,168.23817520254084,156.23817520254084,80.86,23.238175202540845,True,23.238175202540845,-11.238175202540845,2025-11-24
Baylor,Creighton,155,176.96237215127567,164.96237215127567,81.58,21.962372151275673,True,21.962372151275673,-9.962372151275673,2025-11-24
UC San Diego,Temple,167,177.86809160725147,165.86809160725147,85.82,10.868091607251472,True,10.868091607251472,1.131908392748528,2025-11-24
St. John's (NY),Iowa St.,165,171.43108960558013,159.43108960558013,82.5,6.4310896055801265,True,6.4310896055801265,5.5689103944198735,2025-11-24
Houston,Syracuse,152,165.94631342992065,153.94631342992065,84.86,13.94631342992065,True,13.94631342992065,-1.9463134299206502,2025-11-24
Holy Cross,Siena,142,173.27851057271573,161.27851057271573,84.98,31.27851057271573,True,31.27851057271573,-19.27851057271573,2025-11-24
Oregon St.,Massachusetts,138,166.88317101978907,154.88317101978907,86.52,28.883171019789074,True,28.883171019789074,-16.883171019789074,2025-11-24
Mississippi St.,New Orleans,159,171.67331119398736,159.67331119398736,83.62,12.67331119398736,True,12.67331119398736,-0.6733111939873595,2025-11-24
Chaminade,Washington St.,175,163.1285071452017,151.1285071452017,82.46,-11.871492854798305,False,-11.871492854798305,23.871492854798305,2025-11-24
Akron,Yale,191,183.87224694906328,171.87224694906328,80.67999999999999,-7.127753050936718,False,-7.127753050936718,19.127753050936718,2025-11-24
UC Santa Barbara,Nobel,133,163.56873876829465,151.56873876829465,82.56,30.56873876829465,True,30.56873876829465,-18.56873876829465,2025-11-24
UC Davis,Louisiana,133,165.1751605172492,153.1751605172492,85.46000000000001,32.175160517249196,True,32.175160517249196,-20.175160517249196,2025-11-24
